time,frequency,confidence
0.000,268.465,0.366476
0.050,272.995,0.220472
0.100,273.777,0.087067
0.150,274.798,0.081336
0.200,275.619,0.311919
0.250,269.415,0.075874
0.300,285.536,0.014082
0.350,305.557,0.076040
0.400,331.684,0.276734
0.450,354.677,0.198605
0.500,377.217,0.039056
0.550,413.108,0.431662
0.600,447.949,0.021605
0.650,497.795,0.411165
0.700,523.060,0.683343
0.750,517.274,0.937543
0.800,525.591,0.954311
0.850,581.425,0.875671
0.900,587.153,0.962711
0.950,653.626,0.441269
1.000,661.384,0.841733
1.050,670.525,0.516895
1.100,678.894,0.642956
1.150,667.194,0.822971
1.200,606.576,0.941006
1.250,584.867,0.911026
1.300,571.867,0.941807
1.350,538.541,0.933406
1.400,526.856,0.793823
1.450,520.561,0.878216
1.500,526.427,0.838160
1.550,522.754,0.851907
1.600,526.989,0.595324
1.650,593.851,0.929347
1.700,589.914,0.787140
1.750,528.248,0.896718
1.800,526.557,0.674836
1.850,498.516,0.946786
1.900,504.322,0.642671
1.950,440.563,0.948628
2.000,441.058,0.963459
2.050,396.979,0.824552
2.100,396.544,0.923556
2.150,439.378,0.768202
2.200,439.242,0.919681
2.250,440.100,0.735076
2.300,498.316,0.928193
2.350,512.315,0.813033
2.400,529.541,0.901526
2.450,529.989,0.852407
2.500,591.365,0.949237
2.550,590.768,0.823789
2.600,661.513,0.967982
2.650,660.635,0.944261
2.700,690.748,0.551641
2.750,692.451,0.744039
2.800,744.684,0.466843
2.850,844.145,0.396598
2.900,888.945,0.546176
2.950,794.717,0.690481
3.000,726.217,0.229961
3.050,700.867,0.627973
3.100,665.529,0.366843
3.150,661.440,0.953976
3.200,656.157,0.796371
3.250,590.962,0.935855
3.300,570.082,0.495376
3.350,527.810,0.830169
3.400,527.323,0.942717
3.450,583.044,0.772753
3.500,586.398,0.870684
3.550,654.858,0.492178
3.600,661.332,0.913608
3.650,663.415,0.867751
3.700,695.639,0.820880
3.750,670.783,0.855795
3.800,621.358,0.921223
3.850,580.942,0.944011
3.900,537.099,0.554321
3.950,530.070,0.482893
4.000,529.528,0.864558
4.050,521.521,0.914537
4.100,526.985,0.892157
4.150,523.389,0.849030
4.200,594.263,0.787308
4.250,591.817,0.903573
4.300,525.188,0.656798
4.350,526.623,0.933051
4.400,514.858,0.768153
4.450,501.376,0.873973
4.500,441.798,0.778641
4.550,441.937,0.956990
4.600,398.258,0.421750
4.650,396.882,0.894777
4.700,399.875,0.631594
4.750,440.239,0.905671
4.800,442.517,0.816445
4.850,494.405,0.976655
4.900,495.798,0.962600
4.950,551.158,0.934300
5.000,589.580,0.947574
5.050,526.523,0.916866
5.100,532.766,0.477550
5.150,497.283,0.934799
