time,frequency,confidence
0.000,0.000,nan
0.050,0.000,nan
0.100,0.000,nan
0.150,0.000,nan
0.200,0.000,nan
0.250,0.000,nan
0.300,0.000,nan
0.350,0.000,nan
0.400,0.000,nan
0.450,0.000,nan
0.500,0.000,nan
0.550,0.000,nan
0.600,0.000,nan
0.650,0.000,nan
0.700,32.274,0.130342
0.750,32.469,0.292041
0.800,32.667,0.038540
0.850,32.439,0.123893
0.900,32.099,0.011291
0.950,32.394,0.232037
1.000,32.168,0.272064
1.050,32.500,0.079551
1.100,32.187,0.027574
1.150,32.615,0.007057
1.200,32.029,0.078277
1.250,31.955,0.040743
1.300,32.470,0.035416
1.350,33.319,0.173712
1.400,36.325,0.039273
1.450,39.441,0.100677
1.500,42.972,0.314871
1.550,43.825,0.239233
1.600,47.671,0.086167
1.650,50.165,0.182577
1.700,51.576,0.035254
1.750,53.075,0.249058
1.800,53.476,0.050387
1.850,55.435,0.081777
1.900,57.371,0.045506
1.950,61.594,0.008382
2.000,67.274,0.210816
2.050,75.376,0.064486
2.100,82.285,0.147160
2.150,92.032,0.618179
2.200,98.297,0.518736
2.250,97.886,0.477017
2.300,97.864,0.685193
2.350,97.765,0.619973
2.400,97.781,0.645955
2.450,105.333,0.829183
2.500,114.458,0.643279
2.550,127.549,0.661249
2.600,144.376,0.684402
2.650,154.789,0.582017
2.700,168.768,0.734402
2.750,192.244,0.503995
2.800,197.174,0.629412
2.850,223.469,0.672172
2.900,247.954,0.660204
2.950,269.751,0.526558
3.000,295.495,0.899554
3.050,294.237,0.958068
3.100,294.162,0.974633
3.150,293.203,0.936122
3.200,292.758,0.913715
3.250,295.049,0.832829
3.300,294.394,0.785503
3.350,324.704,0.785494
3.400,370.252,0.876901
3.450,390.737,0.950997
3.500,390.785,0.921329
3.550,392.022,0.840939
3.600,389.163,0.929504
3.650,389.456,0.909145
3.700,392.443,0.568695
3.750,390.141,0.847075
3.800,390.489,0.938340
3.850,388.922,0.943406
3.900,388.762,0.927681
3.950,390.275,0.923393
4.000,369.336,0.936353
4.050,320.208,0.911780
4.100,294.699,0.710520
4.150,294.175,0.979919
4.200,294.436,0.960518
4.250,292.528,0.915512
4.300,292.551,0.943184
4.350,294.737,0.898023
4.400,293.367,0.764271
4.450,291.683,0.836892
4.500,292.354,0.820837
4.550,293.441,0.917612
4.600,293.594,0.849711
4.650,294.953,0.934447
4.700,295.153,0.966861
4.750,294.874,0.965070
4.800,307.033,0.909723
4.850,341.720,0.946783
4.900,387.234,0.647276
4.950,389.771,0.845108
5.000,390.495,0.542065
5.050,389.232,0.817445
5.100,385.987,0.672859
5.150,394.076,0.582912
5.200,404.221,0.450649
5.250,442.836,0.341512
5.300,485.440,0.310578
5.350,497.829,0.359805
5.400,493.023,0.369247
5.450,557.677,0.539870
5.500,586.254,0.847817
5.550,583.947,0.924632
5.600,593.243,0.915973
5.650,586.599,0.963416
5.700,584.907,0.954482
5.750,591.280,0.960791
5.800,588.316,0.966584
5.850,588.685,0.968885
5.900,589.123,0.970741
5.950,585.554,0.918871
6.000,587.262,0.796682
6.050,587.899,0.743835
6.100,585.030,0.797489
6.150,589.312,0.838393
6.200,587.995,0.894088
6.250,587.699,0.959837
6.300,589.770,0.933072
6.350,589.196,0.874001
6.400,590.011,0.918235
6.450,590.706,0.927312
6.500,590.370,0.712610
6.550,589.835,0.943115
6.600,523.107,0.855293
6.650,522.716,0.949196
6.700,519.508,0.928381
6.750,523.824,0.946100
6.800,521.403,0.929576
6.850,521.565,0.941112
6.900,522.954,0.943030
6.950,518.232,0.937887
7.000,521.160,0.947289
7.050,521.460,0.944590
7.100,524.125,0.951647
7.150,519.657,0.941563
7.200,519.876,0.957305
7.250,522.207,0.920054
7.300,518.810,0.945370
7.350,517.080,0.870378
7.400,489.141,0.808616
7.450,438.918,0.925510
7.500,437.964,0.930670
7.550,438.649,0.932715
7.600,439.288,0.943361
7.650,437.984,0.848920
7.700,459.351,0.796553
7.750,504.399,0.415273
7.800,522.408,0.904153
7.850,518.110,0.879604
7.900,522.977,0.913979
7.950,517.019,0.906418
8.000,522.253,0.907704
8.050,523.097,0.816343
8.100,519.688,0.890044
8.150,522.410,0.933738
8.200,522.652,0.935709
8.250,521.628,0.915365
8.300,517.980,0.949319
8.350,521.118,0.943216
8.400,522.717,0.919539
8.450,522.938,0.846827
8.500,517.211,0.525411
8.550,452.970,0.908702
8.600,438.021,0.920943
8.650,438.146,0.927508
8.700,438.910,0.920414
8.750,441.583,0.898449
8.800,442.635,0.442436
8.850,496.267,0.925227
8.900,524.448,0.954901
8.950,522.411,0.814688
9.000,524.978,0.874694
9.050,519.941,0.869931
9.100,479.210,0.675828
9.150,440.891,0.933601
9.200,439.588,0.868266
9.250,436.565,0.803094
9.300,418.298,0.708650
9.350,375.055,0.338138
9.400,366.235,0.709427
9.450,364.210,0.672176
9.500,359.795,0.364192
9.550,367.491,0.546463
9.600,357.102,0.900874
9.650,348.020,0.845939
9.700,324.770,0.890223
9.750,312.615,0.811250
9.800,302.369,0.466847
9.850,294.438,0.345960
9.900,293.409,0.893480
9.950,292.951,0.903398
10.000,294.051,0.888213
10.050,292.630,0.707583
10.100,293.804,0.539538
10.150,293.624,0.761681
10.200,293.489,0.797738
10.250,294.529,0.903000
10.300,294.330,0.861461
10.350,295.101,0.651719
10.400,293.272,0.832523
10.450,292.289,0.900917
10.500,294.284,0.923879
10.550,293.551,0.897259
10.600,292.199,0.928635
10.650,292.601,0.601407
10.700,292.916,0.887386
10.750,294.035,0.929139
10.800,293.367,0.659463
10.850,293.554,0.460691
10.900,292.935,0.709159
10.950,293.527,0.464312
11.000,291.286,0.182940
11.050,295.331,0.343435
11.100,294.109,0.316132
11.150,293.466,0.484220
11.200,287.928,0.179060
11.250,293.626,0.687879
11.300,296.118,0.432433
11.350,293.153,0.853996
11.400,293.001,0.737182
11.450,293.624,0.581742
11.500,293.556,0.894872
11.550,293.189,0.655708
11.600,291.907,0.767551
11.650,292.640,0.823583
11.700,294.179,0.803011
11.750,290.770,0.827001
11.800,292.286,0.400098
11.850,292.546,0.477741
11.900,292.812,0.352373
11.950,292.007,0.435527
12.000,292.658,0.487476
12.050,293.094,0.937668
12.100,290.301,0.516297
12.150,293.225,0.360844
12.200,291.830,0.306053
12.250,293.079,0.878782
12.300,293.077,0.950703
12.350,292.570,0.917043
12.400,293.821,0.949835
12.450,291.625,0.915641
12.500,293.723,0.787799
12.550,293.351,0.929841
12.600,293.082,0.940982
12.650,293.388,0.856196
12.700,293.218,0.935958
12.750,292.220,0.869173
12.800,294.308,0.957178
12.850,292.647,0.791198
12.900,293.355,0.099587
12.950,292.560,0.492207
13.000,293.738,0.747988
13.050,294.443,0.950014
13.100,292.123,0.824177
13.150,293.245,0.369302
13.200,291.101,0.147834
13.250,290.697,0.221544
13.300,294.519,0.533680
13.350,293.639,0.790731
13.400,290.418,0.512335
13.450,293.745,0.821636
13.500,291.248,0.749959
13.550,288.790,0.282246
13.600,293.668,0.388144
13.650,290.139,0.415049
13.700,294.123,0.646840
13.750,293.088,0.296670
13.800,294.428,0.242394
13.850,294.458,0.820832
13.900,294.155,0.831309
13.950,293.504,0.946894
14.000,293.997,0.902894
14.050,293.074,0.811041
14.100,293.265,0.934320
14.150,293.123,0.878352
14.200,292.416,0.844603
14.250,291.785,0.886911
14.300,293.946,0.758161
14.350,294.416,0.943274
14.400,293.563,0.934527
14.450,293.159,0.784742
14.500,292.411,0.694251
14.550,291.478,0.506988
14.600,293.604,0.912944
14.650,293.167,0.846962
14.700,292.321,0.624336
14.750,291.681,0.260829
14.800,292.027,0.365873
14.850,293.831,0.945932
14.900,294.643,0.840663
14.950,293.571,0.378385
15.000,293.792,0.338035
15.050,294.737,0.785017
15.100,293.649,0.926205
15.150,291.686,0.608824
15.200,293.117,0.275292
15.250,294.180,0.783793
15.300,294.252,0.880992
15.350,293.396,0.676913
15.400,292.713,0.828123
15.450,292.630,0.427190
15.500,293.974,0.528641
15.550,292.828,0.741207
15.600,293.297,0.859774
15.650,293.240,0.886927
15.700,291.852,0.800743
15.750,289.650,0.403558
15.800,292.761,0.549454
15.850,290.463,0.730271
15.900,293.107,0.521208
15.950,292.129,0.768417
16.000,291.077,0.666596
16.050,294.420,0.694645
16.100,290.157,0.440608
16.150,292.367,0.825577
16.200,292.692,0.318581
16.250,291.411,0.314901
16.300,292.014,0.265043
16.350,291.649,0.363360
16.400,293.754,0.916349
16.450,293.008,0.862645
16.500,294.906,0.644199
16.550,294.577,0.527397
16.600,293.766,0.367428
16.650,292.752,0.793682
16.700,293.486,0.570519
16.750,293.705,0.747194
16.800,293.488,0.666570
16.850,291.821,0.395211
16.900,293.748,0.676005
16.950,293.678,0.781569
17.000,294.116,0.449582
17.050,292.598,0.683844
17.100,296.061,0.571236
17.150,293.688,0.795013
17.200,292.360,0.582817
17.250,294.096,0.291342
17.300,291.281,0.415771
17.350,294.548,0.565364
17.400,294.086,0.564969
17.450,293.315,0.468628
17.500,289.989,0.399254
17.550,293.480,0.379339
17.600,294.692,0.449605
17.650,293.969,0.893880
17.700,293.115,0.909607
17.750,290.878,0.379067
17.800,294.495,0.863369
17.850,292.692,0.447578
17.900,294.031,0.166870
17.950,293.542,0.918297
18.000,293.664,0.724238
18.050,291.910,0.422936
18.100,293.107,0.514520
18.150,292.148,0.594500
18.200,294.253,0.972343
18.250,293.555,0.921854
18.300,292.920,0.609016
18.350,291.199,0.354978
18.400,293.881,0.874173
18.450,293.586,0.751034
18.500,295.823,0.536554
18.550,293.446,0.331480
18.600,290.477,0.356027
18.650,293.526,0.847918
18.700,293.494,0.936144
18.750,290.131,0.528382
18.800,294.126,0.441568
18.850,290.267,0.318454
18.900,292.084,0.297158
18.950,293.467,0.796410
19.000,291.436,0.419313
19.050,274.417,0.148832
19.100,262.298,0.170020
19.150,292.799,0.771508
19.200,293.659,0.958409
19.250,292.135,0.777701
19.300,291.083,0.418396
19.350,290.792,0.610850
19.400,289.818,0.765810
19.450,293.029,0.847542
19.500,293.088,0.613990
19.550,293.425,0.928154
19.600,292.389,0.771432
19.650,295.553,0.215990
19.700,293.793,0.935413
19.750,293.353,0.884620
19.800,292.769,0.800645
19.850,293.565,0.761376
19.900,292.229,0.455225
19.950,292.365,0.415865
20.000,292.887,0.823852
20.050,293.020,0.914391
20.100,293.056,0.776078
20.150,292.067,0.406585
20.200,293.079,0.678694
20.250,295.536,0.777314
20.300,294.753,0.773541
20.350,293.884,0.503742
20.400,295.079,0.819305
20.450,294.043,0.943170
20.500,293.059,0.662872
20.550,293.632,0.912022
20.600,294.882,0.944371
20.650,292.975,0.795873
20.700,293.916,0.962683
20.750,294.578,0.914697
20.800,322.120,0.367160
20.850,359.307,0.336535
20.900,360.477,0.181204
20.950,354.175,0.204762
21.000,359.184,0.630335
21.050,363.455,0.581984
21.100,359.473,0.611011
21.150,357.446,0.706945
21.200,369.579,0.641535
21.250,378.328,0.287707
21.300,390.029,0.899308
21.350,389.215,0.854801
21.400,390.377,0.662319
