time,frequency,confidence
0.000,0.000,nan
1.000,0.000,nan
2.000,0.000,nan
3.000,0.000,nan
4.000,497.358,0.965935
5.000,525.507,0.964737
6.000,492.818,0.846115
7.000,443.864,0.944266
8.000,393.373,0.972233
9.000,422.133,0.937796
10.000,443.853,0.951857
11.000,495.451,0.980779
12.000,524.495,0.957720
13.000,491.653,0.807517
14.000,443.466,0.949768
15.000,396.246,0.591662
16.000,444.017,0.941022
17.000,393.365,0.971266
18.000,440.505,0.873040
19.000,391.901,0.960039
20.000,423.081,0.902687
21.000,442.081,0.933030
22.000,444.157,0.926373
23.000,439.276,0.954328
24.000,488.798,0.943194
25.000,525.325,0.963159
26.000,584.980,0.754222
27.000,656.337,0.909664
28.000,758.660,0.964249
29.000,818.220,0.524026
30.000,874.104,0.941801
31.000,1002.342,0.900911
32.000,1059.807,0.487877
33.000,1046.507,0.938412
34.000,936.371,0.932013
35.000,884.312,0.953173
36.000,994.104,0.939618
37.000,964.973,0.972825
38.000,1005.553,0.882058
39.000,1022.010,0.877012
40.000,1014.945,0.765390
41.000,1017.979,0.965727
42.000,987.237,0.931628
43.000,898.797,0.950763
44.000,874.878,0.321933
45.000,897.319,0.962094
46.000,883.698,0.937456
47.000,790.416,0.859789
48.000,847.454,0.885861
49.000,882.455,0.948701
50.000,884.032,0.840971
51.000,882.439,0.926948
52.000,871.049,0.848085
53.000,889.718,0.875849
54.000,787.882,0.943895
55.000,846.078,0.962561
56.000,886.305,0.943093
57.000,852.882,0.512951
58.000,782.746,0.908322
59.000,797.622,0.837725
60.000,787.629,0.470061
61.000,795.882,nan
62.000,795.882,nan
63.000,795.882,nan
