time,frequency,confidence
0.000,0.000,nan
0.500,0.000,nan
1.000,0.000,nan
1.500,0.000,nan
2.000,0.000,nan
2.500,0.000,nan
3.000,0.000,nan
3.500,0.000,nan
4.000,330.768,0.955545
4.500,331.847,0.811330
5.000,330.051,0.930474
5.500,350.125,0.975679
6.000,392.210,0.924032
6.500,393.326,0.965858
7.000,349.844,0.975640
7.500,330.274,0.946797
8.000,295.627,0.967939
8.500,261.978,0.963729
9.000,262.616,0.959893
9.500,294.902,0.946461
10.000,330.869,0.959887
10.500,333.160,0.759907
11.000,330.374,0.940132
11.500,295.665,0.964252
12.000,295.054,0.969717
12.500,294.682,0.969231
13.000,329.961,0.938265
13.500,330.221,0.962156
14.000,349.961,0.972123
14.500,392.352,0.912460
15.000,393.773,0.927554
15.500,349.832,0.965583
16.000,330.829,0.950328
16.500,292.928,0.832302
17.000,295.372,0.959223
17.500,262.155,0.958072
18.000,262.540,0.963052
18.500,294.791,0.933816
19.000,330.255,0.940419
19.500,295.231,0.962068
20.000,296.657,0.872293
20.500,262.207,0.963142
21.000,262.236,0.970533
21.500,295.190,0.954053
22.000,294.590,0.943584
22.500,330.273,0.878976
23.000,329.763,0.934063
23.500,327.208,0.962700
24.000,332.629,0.957668
24.500,349.441,0.949879
25.000,330.378,0.958538
25.500,313.312,0.960357
26.000,295.530,0.967262
26.500,330.070,0.951764
27.000,330.143,0.940425
27.500,294.797,0.949854
28.000,261.890,0.935617
28.500,293.576,0.828822
29.000,295.828,0.872712
29.500,304.183,0.959275
30.000,322.832,0.949680
30.500,329.961,0.939396
31.000,329.527,0.911631
31.500,349.645,0.972477
32.000,393.240,0.943134
32.500,392.515,0.955976
33.000,349.988,0.969447
33.500,330.889,0.932470
34.000,294.342,0.940469
34.500,261.368,0.807854
35.000,261.817,0.944896
35.500,261.962,0.959962
36.000,294.897,0.970488
36.500,329.956,0.900531
37.000,295.044,0.973131
37.500,260.906,0.819680
38.000,261.924,0.951164
38.500,262.197,0.970048
39.000,261.981,0.966428
39.500,262.162,0.954816
40.000,262.375,0.576782
40.500,262.642,0.940612
41.000,262.831,0.792961
41.500,0.000,nan
42.000,0.000,nan
42.500,0.000,nan
43.000,0.000,nan
43.500,0.000,nan
44.000,0.000,nan
44.500,0.000,nan
45.000,0.000,nan
45.500,0.000,nan
46.000,330.052,0.930019
46.500,329.807,0.913849
47.000,330.459,0.953009
47.500,330.160,0.955746
48.000,350.040,0.972216
48.500,349.755,0.971460
49.000,394.339,0.904117
49.500,391.220,0.932783
50.000,362.929,0.302500
50.500,392.233,0.947744
51.000,393.322,0.848042
51.500,349.698,0.971278
52.000,350.130,0.974457
52.500,329.964,0.942278
53.000,329.705,0.933085
53.500,295.153,0.973274
54.000,295.418,0.925420
54.500,263.055,0.954075
55.000,261.981,0.966091
55.500,262.212,0.859646
56.000,261.670,0.951344
56.500,262.180,0.892915
57.000,294.788,0.974256
57.500,295.696,0.733910
58.000,330.136,0.935137
58.500,330.289,0.922688
59.000,330.011,0.936719
59.500,329.653,0.906476
60.000,330.005,0.948714
60.500,295.546,0.951324
61.000,295.247,0.959834
61.500,294.883,0.973834
62.000,294.772,0.969228
62.500,295.848,0.959065
63.000,299.911,0.203359
63.500,329.912,0.903838
64.000,329.659,0.909594
64.500,329.766,0.938407
65.000,329.964,0.921149
65.500,350.332,0.976297
66.000,350.010,0.974554
66.500,393.528,0.923231
67.000,392.278,0.958005
67.500,396.258,0.871632
68.000,391.959,0.952356
68.500,381.522,0.372220
69.000,350.151,0.976614
69.500,349.894,0.968369
70.000,329.909,0.938415
70.500,330.236,0.927945
71.000,294.790,0.962513
71.500,294.657,0.966150
72.000,262.378,0.963153
72.500,261.900,0.957966
73.000,261.216,0.938535
73.500,261.604,0.954788
74.000,270.667,0.460374
74.500,295.442,0.953272
75.000,295.160,0.873595
75.500,329.991,0.938246
76.000,330.560,0.944613
76.500,294.436,0.964009
77.000,294.923,0.974868
77.500,294.821,0.960839
78.000,262.209,0.960303
78.500,263.028,0.951662
79.000,261.670,0.956890
79.500,262.252,0.968886
80.000,262.397,0.968709
80.500,261.729,0.685322
81.000,294.844,0.973087
81.500,295.135,0.956242
82.000,294.673,0.961972
82.500,295.090,0.970710
83.000,287.612,0.944551
83.500,273.072,0.935302
84.000,262.397,0.961347
84.500,261.906,0.957917
85.000,295.309,0.958909
85.500,294.809,0.963026
86.000,303.779,0.319122
86.500,330.065,0.936342
87.000,349.913,0.973424
87.500,329.973,0.940618
88.000,330.507,0.943634
88.500,316.697,0.957382
89.000,307.592,0.968905
89.500,295.097,0.974122
90.000,295.318,0.959885
90.500,330.976,0.942548
91.000,349.991,0.964692
91.500,330.626,0.938381
92.000,330.211,0.946618
92.500,329.632,0.902246
93.000,294.167,0.960439
93.500,297.129,0.821707
94.000,262.461,0.966848
94.500,262.239,0.970166
95.000,295.191,0.969081
95.500,295.407,0.951093
96.000,295.863,0.948453
96.500,298.635,0.956900
97.000,310.010,0.940524
97.500,323.143,0.930202
98.000,322.729,0.232374
98.500,330.044,0.907868
99.000,330.171,0.917851
99.500,330.370,0.942061
100.000,329.908,0.913860
100.500,349.781,0.972164
101.000,350.065,0.973832
101.500,392.484,0.932901
102.000,392.592,0.972912
102.500,393.704,0.927490
103.000,392.950,0.968921
103.500,348.745,0.935263
104.000,350.079,0.972697
104.500,348.640,0.823535
105.000,329.797,0.933512
105.500,330.340,0.877521
106.000,295.093,0.974885
106.500,295.132,0.947576
107.000,261.262,0.926544
107.500,262.229,0.966777
108.000,262.178,0.961199
108.500,262.181,0.966519
109.000,295.128,0.959102
109.500,295.273,0.959143
110.000,299.366,0.339702
